snapped_at,price,market_cap,total_volume
2025-04-10 00:00:00 UTC,8.18362158377738,1638501465.557857,821284811.0689774
2025-04-11 00:00:00 UTC,7.907795286772477,1581376727.3745582,422940979.1628311
2025-04-12 00:00:00 UTC,8.046692838125155,1609140290.525386,333848956.6693172
2025-04-13 00:00:00 UTC,8.647060514914667,1728690815.298,370170225.8021705
2025-04-14 00:00:00 UTC,8.27110171402371,1654135495.5322602,478680388.4640497
2025-04-15 00:00:00 UTC,7.878715314434602,1575493980.8527198,450653759.6391057
2025-04-16 00:00:00 UTC,7.799947018489749,1559921067.3226562,370739809.92769337
2025-04-17 00:00:00 UTC,7.728361431218459,1545309860.678977,447855830.87099016
2025-04-18 00:00:00 UTC,7.541664896998051,1507077373.4808583,395398095.98742926
2025-04-19 00:00:00 UTC,7.80514364396704,1560350726.0626361,272390544.5056918
2025-04-20 00:00:00 UTC,8.438013790590407,1687554640.412349,728984097.032442
2025-04-21 00:00:00 UTC,8.15967851843288,1631230041.1458297,315532115.32872534
2025-04-22 00:00:00 UTC,8.331004537189141,1663292284.4882767,402638375.91165775
2025-04-23 00:00:00 UTC,9.228968749017138,1846270360.823233,761900456.589121
2025-04-24 00:00:00 UTC,13.413141911042008,2680483648.9546027,4724520529.40823
2025-04-25 00:00:00 UTC,12.224078751330627,2446793082.513277,2460811408.227005
2025-04-26 00:00:00 UTC,13.378688225172002,2672862615.991135,2315422174.119251
2025-04-27 00:00:00 UTC,15.587902887105235,3115715530.326002,3094432830.742082
2025-04-28 00:00:00 UTC,14.872793424630661,2974349845.5221624,1638465554.7382975
2025-04-29 00:00:00 UTC,14.645234249909986,2927590249.713529,1609862902.1423972
2025-04-30 00:00:00 UTC,13.011708892990153,2601683703.853105,1314031425.545882
2025-05-01 00:00:00 UTC,13.211404349820107,2642484872.803335,1056483727.5947019
2025-05-02 00:00:00 UTC,12.723561651548453,2544331892.8686476,891301271.6907282
2025-05-03 00:00:00 UTC,13.253471232699065,2650951432.0002613,715065145.1235887
2025-05-04 00:00:00 UTC,11.32510012589097,2266947884.7079716,908467938.2577988
2025-05-05 00:00:00 UTC,11.003744160355266,2199077237.143118,577436676.3312991
2025-05-06 00:00:00 UTC,11.178870561655968,2235780812.237962,805790716.4150767
2025-05-07 00:00:00 UTC,11.036319238115752,2207206748.1936684,620874447.7685392
2025-05-08 00:00:00 UTC,10.994760941971913,2198986808.5619516,480235864.73383063
2025-05-09 00:00:00 UTC,12.516981700951103,2501848563.697952,1699425764.7756197
2025-05-10 00:00:00 UTC,14.21437052606877,2839626355.8006763,3104712304.047156
2025-05-11 00:00:00 UTC,14.880340175946206,2961451027.9763656,1736400667.2028613
2025-05-12 00:00:00 UTC,13.727182912245167,2746307818.7701573,1424705313.0979495
2025-05-13 00:00:00 UTC,13.083084572560818,2617166149.012344,2617112946.9748635
2025-05-14 00:00:00 UTC,13.759393149736997,2751878297.465422,1585484590.2286496
2025-05-15 00:00:00 UTC,13.384315096888988,2676862695.959206,1154056804.4706357
2025-05-16 00:00:00 UTC,12.749399453985449,2549879664.854418,1074540742.7892632
2025-05-17 00:00:00 UTC,12.698335836313179,2541481786.373857,698287900.1490778
2025-05-18 00:00:00 UTC,12.626499690946474,2525298904.8016496,937771218.2774938
2025-05-19 00:00:00 UTC,13.209582772801099,2627725931.0694356,1033218704.0779971
2025-05-20 00:00:00 UTC,12.857323641531767,2568399704.910493,768698895.902825
2025-05-21 00:00:00 UTC,14.388619870452938,2871077322.7405477,1138273640.633983
2025-05-22 00:00:00 UTC,14.511805572564212,2904306735.9372687,2335428373.9459357
2025-05-23 00:00:00 UTC,14.665323851312678,2931716732.413058,2460469234.9977865
2025-05-24 00:00:00 UTC,12.527673011216157,2504378860.7905884,2316762018.233665
2025-05-25 00:00:00 UTC,12.933175181007876,2586690343.8310714,717867337.2006505
2025-05-26 00:00:00 UTC,12.815447427488508,2562849249.6402936,555466831.914082
2025-05-27 00:00:00 UTC,12.70651906755647,2540822168.4793024,539493458.5280707
2025-05-28 00:00:00 UTC,12.77148093177917,2553865168.954036,514137255.22404855
2025-05-29 00:00:00 UTC,12.455227145903272,2490797877.950343,438700548.9869998
2025-05-30 00:00:00 UTC,11.939649204310113,2387965114.3823924,604717843.905662
2025-05-31 00:00:00 UTC,10.849566176761503,2169325675.742599,802829355.9316157
2025-06-01 00:00:00 UTC,11.244012240361354,2248563803.387933,594887709.5047151
2025-06-02 00:00:00 UTC,11.373911020926707,2274811546.4733057,250324175.3522987
2025-06-03 00:00:00 UTC,11.335352679523389,2266813324.092387,233360920.49661994
2025-06-04 00:00:00 UTC,11.182364596200113,2236277523.219822,614784057.9766862
2025-06-05 00:00:00 UTC,10.822908859611353,2164288172.701028,301504404.35405195
2025-06-06 00:00:00 UTC,9.746737281383727,1946614647.684729,800941896.739344
2025-06-07 00:00:00 UTC,10.098794831164334,2019772152.2072158,738844545.1099099
2025-06-08 00:00:00 UTC,10.377882666458438,2075396298.3765619,292325347.1736227
2025-06-09 00:00:00 UTC,10.402211203299213,2080122932.2678647,191575190.97289044
2025-06-10 00:00:00 UTC,10.873406052793808,2174354903.481677,304173685.77250016
2025-06-11 00:00:00 UTC,10.957963870504152,2191989550.4772835,360199460.5727544
